"ID","Type","Name","Documentation","Specialization"
"id-f9059b26cc89413eae691a04bdf8e9fb","ArchimateModel","NBility-business-capabilities-EN","",""
"id-c66353c42a6f4ba7bb646becc41e9426","Capability","C.1. Serve Customers","The ability to optimally serve our customers in their use of our products and services
",""
"id-b771748d1ce646028dad856d8cf72957","Capability","C.1.1. Serve customers and maintain relations","The ability to serve customers and maintain relations.

",""
"id-ecb7e31850e74a6e9f6a3678946c4a43","Capability","C.1.1.1 Provide service to customers","",""
"id-a0d55afe4eef464da18a2e9df80cab99","Capability","C.1.1.2. Handle customer report/question/request","",""
"id-284846c427004acf91897115c0a3f4fc","Capability","C.1.1.3 Determine contact person/responsible person for location","",""
"id-e536ba6cfb2247ac8a80fd20636ecc14","Capability","C.1.1.4. Maintain relationship with customers","",""
"id-9df6c0c34f9843599e122d0a644d8127","Capability","C.1.1.5 Collect energy demand","",""
"id-f189d5b7bd974048b7adb86dcfe2a730","Capability","C.1.1.6. Monitor and influence customer experience","",""
"id-219bd4fb0093441994ab886e3de5e20a","Capability","C.1.2. Acquire and manage contracts","The ability to enter into and manage agreements with customers.
",""
"id-7b1dc7e6a6e540d4b543948b58a97eb7","Capability","C.1.2.1. Quote products to customers","",""
"id-0b090b566e584fba96e73cb3fcc79a04","Capability","C.1.2.2. Close, adjust, manage and terminate contracts/SLAs","",""
"id-a507e325982a4b19bf33ea1e83ac441f","Capability","C.1.2.3. Develop and manage products and services","",""
"id-241dc54c6a564f8ba65332efd8d9ff1b","Capability","C.1.3. Invoice and collect","The ability to create, send and collect invoices and/or process payments
",""
"id-3024a5d0213e45f9a9067c41342d0831","Capability","C.1.3.1. Calculate compensation for services rendered","",""
"id-2ccdcfd6dea14701b6e72b85c82d807c","Capability","C.1.3.2. Create and send invoice","",""
"id-d382169a31634bd3a07f34605d1edd2e","Capability","C.1.3.3. Manage and collect outstanding debts","",""
"id-2089d6f53a9a4cfd8026914d59525ce8","Capability","C.1.4. Limit revenue loss","The ability to detect revenue loss, identify causes and remove or repair them
",""
"id-d99342ffb25140d6b4a5fec83568a454","Capability","C.1.4.1. Claim damage caused by third parties","",""
"id-f1975be0b4df4f84bbf0e1ded5356dac","Capability","C.1.4.2. Determine disturbance compensation","",""
"id-6a9027191c9246d0bd5df1787f054f67","Capability","C.1.4.3. Determine compensation for damage caused by work activities","",""
"id-7918af1f276042c7b88ce3c684fcf39f","Capability","C.1.4.4. Monitor and reduce connections without contract","",""
"id-ecaeacf02abe4b91852c137374ff416f","Capability","C.1.4.5. Fight fraud","",""
"id-67eb04eaa5154207a732112ff213560d","Capability","C.2. Transport Energy","The ability to bring together, balance and ensure continuity of energy supply and consumption, so that customers receive energy within the applicable requirements.
",""
"id-a53612488d64410a97e2fd82e70c255a","Capability","C.2.1. Realise energy transport","The ability to determine and coordinate supply and demand in the moment.
",""
"id-3af3975ccd474d93b8afda9f61057db7","Capability","C.2.1.1. Monitor energy transport","The ability to monitor the energy supply/demand balance of the grid and bottlenecks.
",""
"id-c9d1817302f84910a6bb493c4f9dc8df","Capability","C.2.1.2 Monitor the operation of grid components","",""
"id-30ab34a90b434473834c47d96ad6ab05","Capability","C.2.1.3 Control energy transport","The ability to determine and send control actions to specific net components, supported by signal and/or measurement data and formalised logic to keep energy flowing and maintain balance.
",""
"id-f2873915d90946b09100b2689abd4046","Capability","C.2.1.4. Commission/decommission energy grids on distance","The ability to effect control actions on net components and take a grid part into or out of operation (remote switching), including sequence dependence of such actions. This can be in the context of maintenance as well as for new construction. Circuit plans are input for this.
",""
"id-adfaf86418a54ce9bf8703b7d5d5cd0c","Capability","C.2.1.5. Include energy grids in the control of energy transport","The ability to include net components in the operations of the energy grid, such as visibility in the monitoring and control of SCADA.
",""
"id-956d39e96e864103a358888355767b65","Capability","C.2.2. Restore energy transport ","The ability to correct anomalies in energy transport
",""
