"ID","Type","Name","Documentation","Source","Target","Specialization"
"id-a5930babb9b6448497498b1c1bbe17c6","AggregationRelationship","","","id-172e726793ce49f89ee709a3b9b04c50","id-82b5337ec5cf4692ae3780e117de6b9e",""
"id-f8449abb9dcb42c2bbcaf3f7b414daa2","AggregationRelationship","","","id-172e726793ce49f89ee709a3b9b04c50","id-48b41e9ec6c349eab832b710f178a4f8",""
"id-0af29d027573480b988cd9f31e7ba82b","AggregationRelationship","","","id-172e726793ce49f89ee709a3b9b04c50","id-24fc1a0c8be742ec9ad49a46b80d8868",""
"id-6731f8e4f1304686810dd1b199bbfeea","AggregationRelationship","","","id-172e726793ce49f89ee709a3b9b04c50","id-6ebb40cfcf4d45dd8bd69a01c9504772",""
"id-1a7869854487482c9930207b790c26d8","AggregationRelationship","","","id-172e726793ce49f89ee709a3b9b04c50","id-4c535732a8594f6995292995383de9f4",""
"id-58983e45eb5b456cbee293a31397ce6f","AggregationRelationship","","","id-172e726793ce49f89ee709a3b9b04c50","id-d0af6d84a8054b87b0981a5e1578bdf9",""
"id-39ade93970984bdd94a0b144f0086737","AggregationRelationship","","","id-172e726793ce49f89ee709a3b9b04c50","id-6259b4ca642a40d79369d7c3ee645b64",""
"id-9102acc8e1fd4988a69e4faed0047cfb","AssociationRelationship","aangeboden in","","id-7388f9378fbf4fc9ac576c3873845ef6","id-eb2819fde65c48cf9b8ff56aa0901912",""
"id-1d152979136d4fd9a993043df6a4cc4e","AssociationRelationship","aanvaarding van","","id-81ede37f2711494aa97e662e2b11d48c","id-eb2819fde65c48cf9b8ff56aa0901912",""
"id-cd4bb60330504371b72ebe01d110eeaa","AssociationRelationship","achter","","id-088beb20dc2e4b4dab0ab84a94492c5e","id-b5fdb4a3a3d14e8cb165e26124bda1ca",""
"id-95c141aab937425282c3fa81537b68d4","AssociationRelationship","actief op","","id-f4d85bf035b44adeb3b39a4b8b65aad9","id-b5fdb4a3a3d14e8cb165e26124bda1ca",""
"id-c177fb33e5d148d68ab6369b33c86c18","AssociationRelationship","afroep van","","id-b733064c47a248f089892c924f091e20","id-7738e392860e43c39faffadc5f8f301a",""
"id-79f9f54168d64dfe932e433fb833c72f","AssociationRelationship","afspraak over of aanvaarding van","","id-1f485eebf5bb4b3f8955bd6c9513f790","id-7738e392860e43c39faffadc5f8f301a",""
"id-ea024f3206004d8f9c8b33af384afe07","AssociationRelationship","autorisatie voor","","id-4cbbb3e3148e417eade2a4cefe7758e6","id-82a181fbd7834e20853999e9b44898fc",""
"id-f3cfb72b669f4d5e86a82ccfcc934e09","AssociationRelationship","basis voor","","id-81ede37f2711494aa97e662e2b11d48c","id-4cbbb3e3148e417eade2a4cefe7758e6",""
"id-a0eda574fa33489c9dfbb53b9e5c25c1","AssociationRelationship","basis voor","","id-81ede37f2711494aa97e662e2b11d48c","id-b37ed16c90ef4046bcfd5a16c3441291",""
"id-bd9b00a68d114625a3a1a286cf588ce0","AssociationRelationship","basis voor","","id-ebf6b657c2c04e5ab60a707edb30b3dd","id-ee6e29ec5b194394a9e795baceea1d17",""
"id-495e7b7c14854f9f8d40fa73b45dc44a","AssociationRelationship","basis voor","","id-ebcfe49519e3459ea2397b80a88a1dd1","id-4cbbb3e3148e417eade2a4cefe7758e6",""
"id-26c4e48ecbf74bd9bb720dad19fd4cc7","AssociationRelationship","basis voor","","id-10fc654f762d4ed48bea4a3cb53b43f5","id-4cbbb3e3148e417eade2a4cefe7758e6",""
"id-40b456ab0c014e89a42454d658dc4a36","AssociationRelationship","begin of einde van","","id-0d30b2c5ef3a44f7826f016de583c044","id-75f2ac9f1f244756a1a4c7270df76d4e",""
"id-e76259d1e1bc4b71a473abdc8ac44eda","AssociationRelationship","betrokkene in","","id-f4d85bf035b44adeb3b39a4b8b65aad9","id-051d13a69f3c4fd6bdca18aabbe53f44",""
"id-69ad05f2c76348dd86abfd6875c5eb3c","AssociationRelationship","betrokkene in","","id-495781d94e4841e3a30902d841859b63","id-2027f24532d54a0d8b3aada900fc7667",""
"id-ecb737dcabea40b0b505e283f8d4483c","AssociationRelationship","demander in","","id-495781d94e4841e3a30902d841859b63","id-e5fe2578caad42c7be58a249511f3f57",""
"id-7176c11c207f4b8c91036d7a8e22d438","AssociationRelationship","gebaseerd op","","id-d8f5ee4b497f4dff99a77804055443f7","id-3752914c4eda48e3961542a9f19c0e87",""
"id-e40318fd16d74712a1560fc62fa7bfee","AssociationRelationship","gepland in","","id-0d30b2c5ef3a44f7826f016de583c044","id-69a996a6f1864656b7d326c42d71b251",""
"id-ebed4f5169be4684bb08d0892baf25f3","AssociationRelationship","gepland in","","id-0d30b2c5ef3a44f7826f016de583c044","id-d8f5ee4b497f4dff99a77804055443f7",""
"id-c6ae4b24a5ce4d4da7e26d4be9d5f647","AssociationRelationship","gepland in","","id-3628fee0375443819ead9bcb8d58532b","id-376d8deaaf5e4dc3868cc5ab9a8b0a4c",""
"id-d1f9e5a2a9d648299f4b739e38d702ae","AssociationRelationship","in","","id-b5fdb4a3a3d14e8cb165e26124bda1ca","id-bbf1e6fb137645c98cc78187f34ae8dc",""
"id-d2ac90b1c1a74af78427e120b6c18ef6","AssociationRelationship","in gebied van","","id-fe81c04e891d4749b7908bc6dc863398","id-81bbbe72a49d4406a5886ffc9c91b937",""
"id-6b1fc976fed541928e7cba243e524f04","AssociationRelationship","in gebied van","","id-fe81c04e891d4749b7908bc6dc863398","id-ebcd889d3d1d4541b66636515a8d53f3",""
"id-a820d9212e30466386bc17a17d47d9fa","AssociationRelationship","indiener van","","id-495781d94e4841e3a30902d841859b63","id-a1a95576134f4db9bcd6fd1c540a88fa",""
"id-c6a5f5ae0a1a4ab89fd56aa9c1a41d8f","AssociationRelationship","indiener van","","id-f4d85bf035b44adeb3b39a4b8b65aad9","id-697d9706039c4563bc7e2ecad105bf49",""
"id-5a965659a7af47079b29572bac7e95b7","AssociationRelationship","ingezet als","","id-8f82571f2c2e4b68be23c14840fa9eac","id-f093fcef204a435fa30cdb14d5d734e9",""
"id-ad5985a2bff24642a97c56db7ed3a795","AssociationRelationship","ingezet op","","id-f093fcef204a435fa30cdb14d5d734e9","id-fe81c04e891d4749b7908bc6dc863398",""
"id-b243e51c1eb44a8faa9bce0a29fa37fb","AssociationRelationship","met","","id-cadd67d16bb54c5e900f7e060d82a01e","id-495781d94e4841e3a30902d841859b63",""
"id-5391733b5e1e4a95b54f08ff836d2db2","AssociationRelationship","mitigatie van","","id-10fc654f762d4ed48bea4a3cb53b43f5","id-5bb63bca7de2479b85cd85023ee694b8",""
"id-7a796c7ce435403383a7bd868f95613e","AssociationRelationship","mitigatie van","","id-10fc654f762d4ed48bea4a3cb53b43f5","id-565e36ff26084f86962e5bb47946da97",""
"id-05fa5d037ddb4ca3924c8c05757d75ce","AssociationRelationship","of","","id-accb0e79fff8425f868d8fb7e137ec72","id-a6da45a637d941afa20b356075babf4c",""
"id-6dfbe6fec27f4178a68ca8a2083b1641","AssociationRelationship","of","","id-e8310b6507504c1eb6eedba530efadc2","id-a6da45a637d941afa20b356075babf4c",""
"id-f7ebf15e5af64fb0801b5736fcaef5d1","AssociationRelationship","on","","id-e44926d447264f8e82bf6ddccb20b7f8","id-accb0e79fff8425f868d8fb7e137ec72",""
"id-b7e7aef6896a4f0cada5cc14e7f8e062","AssociationRelationship","oorzaak van","","id-fe81c04e891d4749b7908bc6dc863398","id-5bb63bca7de2479b85cd85023ee694b8",""
"id-8422bf6bdb4a4650bba4868db408b936","AssociationRelationship","oorzaak van","","id-fe81c04e891d4749b7908bc6dc863398","id-565e36ff26084f86962e5bb47946da97",""
"id-9bdce3f3857842dfb53a25cd4cc633f7","AssociationRelationship","oorzaak van","","id-ebcfe49519e3459ea2397b80a88a1dd1","id-75f2ac9f1f244756a1a4c7270df76d4e",""
"id-b754608f4e28430ab5bb606c05264ac3","AssociationRelationship","oorzaak van","","id-75f2ac9f1f244756a1a4c7270df76d4e","id-a65b7143178040b4aa7be5f204bbcdb2",""
"id-51006a76690d4d4a962bad5487fe64f8","AssociationRelationship","op","","id-3628fee0375443819ead9bcb8d58532b","id-b5fdb4a3a3d14e8cb165e26124bda1ca",""
"id-eb579f639c0e4e33ac4feb3c6f270634","AssociationRelationship","op","","id-b5fdb4a3a3d14e8cb165e26124bda1ca","id-b3f5e7d3c0d94c838f98a1e3868974e7",""
"id-da8e0bc899dc4c04b342f9d3e0227a0f","AssociationRelationship","op","","id-9d15176cf584487f8ba7d0f635da1c7f","id-fe81c04e891d4749b7908bc6dc863398",""
"id-381416772ff24f54a8dcbf25460de3a4","AssociationRelationship","op basis van","","id-ebf6b657c2c04e5ab60a707edb30b3dd","id-fe81c04e891d4749b7908bc6dc863398",""
"id-f7ff5d24650a4b81a9371565892208d1","AssociationRelationship","op basis van","","id-6f19a7f8f358431284a798ccd0fb02f6","id-fe81c04e891d4749b7908bc6dc863398",""
"id-09592370a1f44602b8e41619af993707","AssociationRelationship","over","","id-accb0e79fff8425f868d8fb7e137ec72","id-e8310b6507504c1eb6eedba530efadc2",""
"id-281fc2fb6d4a41459a2d8bf9593efe70","AssociationRelationship","over","","id-139c3b5dfe174afaaa15745fa61d443c","id-fe81c04e891d4749b7908bc6dc863398",""
"id-784a0f18ddd14ffeb5c804a38cf837de","AssociationRelationship","realization of connection service offered on","","id-e5fe2578caad42c7be58a249511f3f57","id-accb0e79fff8425f868d8fb7e137ec72",""
"id-53a314476f4f4828ab264baad02a896e","AssociationRelationship","realization of transport service offered on","","id-e5fe2578caad42c7be58a249511f3f57","id-e8310b6507504c1eb6eedba530efadc2",""
"id-09ac03fefaf346029df7b2d5a06c5ef6","AssociationRelationship","toegewezen aan","","id-3628fee0375443819ead9bcb8d58532b","id-f4d85bf035b44adeb3b39a4b8b65aad9",""
"id-0c9bb089b4cd46b0bf051a6f8a79b82c","AssociationRelationship","uit","","id-c03e5240ee3f4ea6904da6705b8b00f7","id-7654f4453cdb469a9bc4692026f3f824",""
"id-3235ac909c95421f91c52834c512ec4b","AssociationRelationship","van","","id-6b390b7d8f3442f6941eb4e47dda61f3","id-f093fcef204a435fa30cdb14d5d734e9",""
"id-982a7b4f034846f0b5575395b6e1df7d","AssociationRelationship","van","","id-41ea546715de417da15cde71c088e2a4","id-f093fcef204a435fa30cdb14d5d734e9",""
"id-f46f60e59ef34a90b3ca1e73857839e2","AssociationRelationship","van","","id-3d9c3804c1d24fecbc611344c2cff34d","id-3628fee0375443819ead9bcb8d58532b",""
"id-62fd182eda64422298fb6d189afb2c55","AssociationRelationship","van","","id-75f2ac9f1f244756a1a4c7270df76d4e","id-fe81c04e891d4749b7908bc6dc863398",""
"id-44b1d824340c4e55b3795a3a5b004a11","AssociationRelationship","van","","id-87f8d8a5d9504343a3ec44b95910489b","id-495781d94e4841e3a30902d841859b63",""
"id-0aba4b58a67648ceaa85a24923e7d155","AssociationRelationship","van","","id-59b5699524a04a72965cf9cbd3340255","id-495781d94e4841e3a30902d841859b63",""
"id-085cd853108540bfbfb7229abfa24470","AssociationRelationship","van","","id-3f92e1b826144dc8902d31186917c937","id-495781d94e4841e3a30902d841859b63",""
"id-44a979c25380498896e8974b5f23ed90","AssociationRelationship","van","","id-e44e4277c66448ca8aa7e8a9596843ff","id-8f82571f2c2e4b68be23c14840fa9eac",""
"id-b271128406d846b98f334818efbe5417","AssociationRelationship","van","","id-883fe9e750a74185977245cdbacdd4ff","id-fe81c04e891d4749b7908bc6dc863398",""
"id-3e367739dec9495ba9ad7ebc597f6701","AssociationRelationship","van of met","","id-3d9c3804c1d24fecbc611344c2cff34d","id-fe81c04e891d4749b7908bc6dc863398",""
"id-017e0aaf8f2c4104b2cb61ca8671a248","AssociationRelationship","verhandeld op","","id-3628fee0375443819ead9bcb8d58532b","id-a61af5ac26304429af234d00d355944e",""
"id-19e9bc4251ee4a47af0b87968c1ae1cd","AssociationRelationship","verzoek om","","id-a1a95576134f4db9bcd6fd1c540a88fa","id-eb2819fde65c48cf9b8ff56aa0901912",""
"id-bf3613b74d8c44d2b540f3caf5ced376","AssociationRelationship","verzoek om","","id-ee6e29ec5b194394a9e795baceea1d17","id-7738e392860e43c39faffadc5f8f301a",""
"id-986bb5d637784b57b582e6cfc5eb4856","AssociationRelationship","voor","","id-687fb3ca499a4f579f5f7773ace4b1e5","id-82a181fbd7834e20853999e9b44898fc",""
"id-42ac6a49bd2341cdab83b99a2612c164","AssociationRelationship","voor","","id-c8d2e75cf0cd4b51aa6e2936a0fc8ed9","id-fe81c04e891d4749b7908bc6dc863398",""
"id-26011f0315f54e5b9e16c1129b830ee3","AssociationRelationship","voor","","id-e4d0678561084b7b924456f218ebeb2c","id-fe81c04e891d4749b7908bc6dc863398",""
"id-91f7ee035c0a42769db35332d3ea85bb","AssociationRelationship","voor","","id-9a6b6da49a4f4391afee55119ccd497f","id-b5fdb4a3a3d14e8cb165e26124bda1ca",""
"id-55a2f0a5b1264f1d9ad3c24c6fbf8522","AssociationRelationship","voor","","id-bec67a0dcba148a3918752d2a849c142","id-f093fcef204a435fa30cdb14d5d734e9",""
"id-34dd428bbcab458f9bfea8db2d98fbd2","AssociationRelationship","voor","","id-b2b7be8b26634e5381f9145cbe11492c","id-82a181fbd7834e20853999e9b44898fc",""
"id-5c9d73c1bb564db289f961dd405deb78","AssociationRelationship","voor","","id-0226168dbaae4f98bccb26e27959ac51","id-10fc654f762d4ed48bea4a3cb53b43f5",""
"id-4aa8ec07b55c44509de9b26a7276bd4f","AssociationRelationship","voor","","id-c03e5240ee3f4ea6904da6705b8b00f7","id-82a181fbd7834e20853999e9b44898fc",""
"id-28c6b4bb4b934061a244ab9b1280ae44","AssociationRelationship","voor","","id-e44e4277c66448ca8aa7e8a9596843ff","id-82a181fbd7834e20853999e9b44898fc",""
"id-c67c7962425546158fa32c7bc561e772","AssociationRelationship","voor uitvoering van","","id-4cbbb3e3148e417eade2a4cefe7758e6","id-d8f5ee4b497f4dff99a77804055443f7",""
"id-ca97f63645084107b454c473a8ee9c18","AssociationRelationship","voor uitvoering van","","id-4cbbb3e3148e417eade2a4cefe7758e6","id-69a996a6f1864656b7d326c42d71b251",""
"id-0a99ff740c4844cfa5a34256e07c1a93","AssociationRelationship","voorziet in","","id-bec67a0dcba148a3918752d2a849c142","id-b6e7aa3a80b24fb98fc9e39f5300ddc0",""
"id-51c23d6dbe564c8d842588b5b22dd46d","AssociationRelationship","voorziet in","","id-10fc654f762d4ed48bea4a3cb53b43f5","id-657c24cde2a046958c986af236db2855",""
"id-34be9154d5744702aa7fe15794ba3b05","AssociationRelationship","wederpartij in","","id-f4d85bf035b44adeb3b39a4b8b65aad9","id-1f485eebf5bb4b3f8955bd6c9513f790",""
"id-faa3c3b0e6284c03befb75901cc80fee","CompositionRelationship","","","id-97fe20117ced45f4bca50c78bfba3a89","id-e396da8082fb4f8eb2ab9c1ced946336",""
"id-64efc3535ab14f7b9658ee685a77f120","CompositionRelationship","","","id-73415a16fe184956b5f7a7bf60721b57","id-b9c5e222753c481caccf86679a72e40e",""
"id-5058775367f54d47aef47f0d033e921d","CompositionRelationship","","","id-660fb325606841a388a26a69ec9695c7","id-ef9f2f0808c942eaa315087ce6f60b24",""
"id-1c2e2117df444e54bbc519eee35bbfca","CompositionRelationship","","","id-8f2ba0e02f6d4c98b5184393a4d91e0e","id-fa51b2cd169d4bf68345de4025f2e0de",""
"id-58a2114614cf4627a399297f3ca3034e","CompositionRelationship","","","id-4264a569a51a48d698f7b0a05ebadf41","id-e3c0092ba95f4fb6ad2ee01b557e0d09",""
